State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Candidate Votes ,NA,NA,NA,NA
Andhra Pradesh-S01,Vizianagaram-GEN,S01_3,Result - Votes- Margin,NA,NA,NA,249351
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Nominated,31,8,0,39
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Nomination Rejected,3,3,0,6
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Withdrawn,0,0,0,0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Contested,28,5,0,33
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Candidates - Forfeited Deposit,27,4,0,31
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - General,947832,978641,114,1926587
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - Overseas,571,144,1,716
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - Service,3876,219,0,4095
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Electors - Total,952279,979004,115,1931398
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - General,666337,704168,41,1370546
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Overseas,12,2,0,14
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Proxy,NA,NA,NA,0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Postal,NA,NA,NA,20570
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Total,NA,NA,NA,1391130
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,NA,NA,NA,3765
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Voters - Polling Percentage,NA,NA,NA,72.03
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Votes Polled On Evm,NA,NA,NA,1370560
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Deducted Votes From Evm,NA,NA,NA,8936
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Valid Votes Polled On Evm,NA,NA,NA,1361624
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Postal Votes Counted,NA,NA,NA,20570
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Postal Votes Deducted,NA,NA,NA,382
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Valid Postal Votes,NA,NA,NA,20188
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Total Valid Votes Polled,NA,NA,NA,1381812
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Test Votes Polled On Evm,NA,NA,NA,0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Votes Polled For 'Nota'(Including Postal),NA,NA,NA,5313
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Votes - Tendered Votes,NA,NA,NA,0
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Number,NA,NA,NA,1962
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Average Electors Per Polling,NA,NA,NA,984
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Dates(S) Of Re-Poll If Any,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Dates - Polling Date - 13/05/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Dates - Counting Date - 04/06/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,"Dates - Declaration Of
Result Date - 04/06/2024",NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Candidate -Winner: - Gumma Thanuja Rani,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Winner - Votes ,NA,NA,NA,477005
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Party Runner-Up: - Bharatiya Janata Party,NA,NA,NA,NA
